Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
51.393,5.85302,0.759443,0,0,0,0,0,0,0
18.3389,3.32175,8.14117,0,0,0,0,0,0,0
17.3121,14.401,0.156011,0,0,0,0,0,0,0
9.91646,26.5849,6.32505,0.135384,0.114861,0,0,0,0,0
31.7753,7.30736,10.4778,1.44312,0.310088,0,0,0,0,0
17.9387,11.1354,9.03098,0.0395556,0.119572,0,0,0,0,0
33.0616,9.77499,4.75714,3.73218,0,0.110786,0,1.18386,0,0
7.65313,10.9503,8.29334,7.7313,0,0,0,0,0,0
22.1975,23.2528,0,6.69701,0.0987889,0.190826,0,0,0,0
33.2132,10.2458,2.94604,0.0862697,0,0,0,0,0,0
13.8715,15.9057,1.13883,2.6585,0,0,0,0,0,0
37.7497,22.8133,0.468187,0.30949,0,0,0,0,0,0
43.5811,7.48098,10.5909,0,0,0,0,0,0,0
29.0498,22.3604,0.0840031,0,0,0,0,0,0,0
49.0845,10.591,0.269768,0.318787,0,0,0,0,0,0
11.5617,13.6466,2.43916,0,0,0,0,0,0,0
12.4244,16.0732,0.744107,0.0356188,0,0,0,0,0,0
17.0012,12.9379,23.7481,3.398,0,0,0,0,0,0
30.024,18.1748,1.26673,0,0.36343,0,0,0.476065,0,0
17.3274,21.4575,7.53717,7.4547,2.63274,0,0.0459728,0,0,0
24.7938,4.46612,0.293616,0.2067,0.405825,0,0,0,0,0
26.2327,12.8021,6.38074,2.36621,0,0,0,0,0,0
21.4404,23.0925,9.95841,0.484361,4.31781,0,0,0,0,0
39.3056,30.2776,1.12348,0.153414,0,0,0,0,0,0
16.7493,10.3275,14.6723,0.372637,0,0,0,0,0,0
29.5426,16.8619,1.75546,0,0,0,0,0,0,0
28.6757,1.48377,0.959969,0,0,0,0,0,0,0
13.834,27.8569,1.31172,0,0,0,0,0,0,0
20.4135,12.0649,7.23663,0.777539,0.0895536,0,0,0,0,0
30.4325,7.15044,7.35085,0,0,0,0,0,0,0
26.9769,11.6407,2.4157,0,0,0,0,0,0,0
31.1187,1.99453,0.0673599,1.8952,0,0,0,0,0,0
16.9932,6.89813,0.380683,0.198111,0.147901,0,0,0,0,0
11.2583,12.3521,1.6312,0.828844,0.0307195,0,0,0,0,0
20.9441,9.01054,8.45312,0.519614,0.513476,0,0.231687,0,0,0
20.7636,5.9718,9.37116,0.546464,0.0543662,0,0,0,0,0
17.5755,10.1362,0.845759,0.10223,0.342531,0,0,0,0,0
42.2246,21.1377,8.06473,7.22843,0,0,0,0,0,0
13.9723,27.7029,9.13712,10.8114,0.487241,0,0,0,0,0
32.1444,4.25996,3.75999,0,0,0,0,0,0,0
31.9859,7.90356,0.993171,0.0314956,0.00562754,0.0505781,0,0,0,0
13.4932,13.2665,0.561238,0.273385,0,0,0,0,0,0
34.6213,23.2632,0.792208,0,3.18715,0.027129,0,0,0,0
34.8861,6.69093,1.49439,0.857467,0,0.19603,0.500774,0,0,0
28.8316,27.762,0.0692147,0.262982,0,0,0,0,0,0
35.884,17.1863,1.23743,0.317896,0.245258,0.027524,0,0.404419,0,0
14.8839,22.1948,7.52138,0.572596,0,0,0,0,0,0
27.2588,33.4433,2.24084,1.33067,0,0,0,0,0,0
30.5578,8.89357,2.92803,0.0166819,0,0,0,0,0,0
14.0252,7.51841,9.29873,4.68202,0.131954,0.114616,0,0,0,0
30.3347,12.659,0.31236,1.32849,0,0,0,0,0,0
43.365,2.6687,4.8099,1.28799,0,0.400948,0,0,0,0
2.13193,44.2977,6.63889,6.91479,0.0577228,0,0,0,0,0
35.2886,9.88451,9.68886,0,0,0.0805897,0,0,0,0
60.8991,10.8117,0.334914,0,0,0,0,0,0,0
42.8616,13.5781,0.110801,9.67061,0,0,0,0,0,0
0.00497772,18.0015,7.70227,1.8871,4.98317,1.03798,0,0,0,0
16.5882,20.6308,5.50438,0.265155,4.28075,0,0,0,0,0
18.8588,12.1299,5.94894,0.583877,0,0,0,0,0,0
17.3324,17.6816,4.6607,0.69109,0.281477,0,0,0,0,0
26.6079,14.1121,4.98022,0.65894,0,0,0,0,0,0
17.2484,16.3227,2.24996,0,0,0,0,0,0,0
30.5229,7.94981,19.4722,0,0,0,0,0,0,0
12.174,23.0676,3.90889,0,0.583727,0,0,0,0,0
26.7865,4.42783,5.02853,0,0,0.783925,0,0,0,0
53.0943,7.99489,6.10101,0,0,0,0,0,0,0
13.7215,20.2291,1.65811,0,0,0,0,0,0,0
13.0287,17.6145,15.121,0.945984,0,0.0392058,0,0,0,0
8.19,15.7697,7.81937,4.05098,0.702576,0,0,0,0,0
38.0426,2.80208,5.35203,0,0,0,0,0,0,0
31.3861,4.60244,0.274232,0.389549,0,0,0,0,0,0
5.72745,33.3671,3.14929,1.77335,7.57527,1.16565,0,0,0,0
17.7399,15.9564,4.76052,0.0911703,0,0,0,0,0,0
3.361,15.6712,12.276,9.48439,4.5054,0,0,0,0,0
4.91014,20.7559,7.75142,0.459122,0.105638,0,0,0,0,0
13.289,24.8089,2.24072,0,0,0,0,0,0,0
2.19115,21.4943,13.35,11.6525,0,0,0,0,0,0
23.6053,10.0032,0.0943513,0,0,0,0,0,0,0
18.029,18.8036,10.5562,4.39919,0.0650915,0.0254624,0,0,0,0
15.2807,12.0002,1.78667,0.183581,0,0,0,0,0,0
14.6762,18.0783,9.28853,0.943088,0,0,0,0,0,0
18.9879,19.6366,2.42295,4.04912,0.176225,0,0,0,0,0
23.35,17.823,1.49831,0,0,0.333675,0,0,0,0
17.5464,33.854,2.94868,2.13126,0.0516781,0,0.0444651,0,0,0
24.418,7.5636,0.218269,0,0.0478272,0,0,0,0,0
