Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
7.00815,39.0058,9.8486,0.116116,0.410199,0,0,0,0,0
21.3008,2.74168,0.303059,0.724241,4.84304e-05,0,0,0,0,0
3.52233,17.4311,24.7264,0.0345802,0,0,0,0,0,0
4.51425,26.2252,13.2666,0.34939,0,0,0,0,0,0
13.5357,12.328,16.2296,1.45269,3.65267,0.719565,0,0,0,0
6.28232,7.19593,21.3049,1.20685,0,0,0,0,0,0
5.18743,11.1877,8.30564,24.543,1.31965,0,0,0,0,0
9.54802,2.76148,0.0155577,0,0,0,0,0,0,0
28.3884,36.5239,7.56623,1.44485,0.0443506,0,0,0,0,0
3.07123,4.23649,27.026,6.62273,0.0282976,0.013941,0,0,0,0
6.13648,7.58329,8.2305,10.2078,10.7774,6.66477,10.662,0.489811,1.8932,0.0153321
38.2553,2.46753,0,0,0,0,0,0,0,0
4.0338,3.92079,6.77571,8.13194,12.3969,0,0,0,0,0
4.58276,6.67247,8.46801,59.6127,1.03795,0.504851,0,0,0,0
10.9276,20.3752,0.56829,0,0,0,0,0,0,0
3.09547,3.48414,11.4655,9.1817,35.739,0.662076,1.64387,0,0.806136,1.86977
14.3274,3.56008,0.773536,0.197527,0.303866,0,0,0,0,0
19.144,20.9067,3.3657,2.33492,9.48572,0,0,0,0,0
3.0927,3.06464,3.29908,7.35611,11.088,9.44227,2.09927,0,0,0
50.8979,0,0,0,0.338761,2.11874,0.232297,0,0.524949,3.33777e-05
5.87392,89.1296,10.9541,0.115134,0,0,0,0,0,0
3.28462,2.876,2.69728,7.58528,7.42411,19.9281,7.66093,1.43667,3.32257,0.00441923
8.56086,22.4088,0.0715503,0.163823,0,0,0,0,0,0
3.59307,3.87182,3.26584,4.4656,5.65355,5.80436,0,0,0,0
3.08534,4.28616,2.95773,3.5024,3.65016,48.6874,8.41238,0,0.719269,0
10.53,0.842381,0.187124,0.0839757,0,0,0,0,0,0
3.64692,3.59591,126.236,0.183454,0.153188,0,0,0,0,0
7.45309,1.17299,0.169517,0.609169,0,0,0,0,0,0
1.62637,0.115588,0,0,0,1.58179,2.73321,0.261468,0,0
7.49252,10.1227,6.17393,0,0,0,0,0,0,0
12.2164,0.561502,0.931565,0,0,0,0,0,0,0
6.18991,4.05952,14.4408,57.2277,1.24595,0,0,0,0,0
46.2928,13.9058,4.8702,0.475176,0,0.00146404,0.859808,2.51674,0.000609293,0
24.3888,4.94671,3.55634,4.13663,0,0,0.626837,0,0,0
18.0857,15.5503,0.76753,0,0,0,0,0,0,0
8.01638,74.9257,0.644768,0.967414,0.00078515,0.448828,12.8948,0,0,0
2.7825,2.9143,3.15135,11.4852,49.2037,19.588,0.301026,0,0,0
23.7676,3.44935,0.251965,0.0210309,10.2768,0,0,0,0,0
10.8143,0.474722,0.793846,0,0,0,0,0,0,0
3.36648,3.03463,25.5914,5.00522,6.24901,0,1.83571,0.26233,0,0
6.16904,6.4748,7.09104,30.7326,9.80064,0,0,0,0,0
3.54808,2.89942,3.8686,7.60932,5.09809,4.04507,36.9407,2.15927,4.74507,0.121111
10.4304,43.6314,3.13168,3.26289,1.59236,0.372585,0,0,0,0
3.50413,3.70837,23.8376,9.74943,3.37726,3.29662,5.2585,5.03999,37.7118,3.00789e-06
3.8934,4.0933,86.9204,4.87518,0.596014,1.22327,0.106323,1.06832,0,0
11.9011,5.34796,3.85405,0.685023,0.0595981,0,0,0,0,0
3.16236,2.96966,5.21541,4.26733,2.82787,4.64612,44.1351,2.00087,0,0
3.93857,3.06512,4.17954,2.94867,3.00363,3.56214,2.7679,3.07058,3.07979,3.59223
4.49649,56.4041,30.2861,0.667513,0,0,0,0,0,0
16.3759,9.54924,3.65886,0.548084,0,0,0,0,0,0
4.06057,24.7062,5.44453,1.07797,0.160583,1.36838,1.52115,3.15282,0,0
7.69106,3.90913,9.07643,3.32523,13.0768,0.635538,0.745626,0.259949,0,0
3.93801,27.6363,1.0977,1.1667,0.386671,3.36991e-07,0,0,0,0
4.46242,23.7044,12.9175,0.381992,8.47439e-07,20.2378,4.04378,0,0.385532,0
3.3636,3.87505,3.28652,3.53636,4.20127,3.55327,12.565,12.5347,1.4099,0
3.13447,3.91901,3.38487,2.85719,3.42791,5.66115,3.63524,6.60802,6.14059,5.29077
